metric,fiscal_year,amount
municipal_appropriation,2024,16742702
municipal_appropriation,2025,17968197
municipal_appropriation,2026,18797126
municipal_appropriation,2027,19561023
education_appropriation,2024,36590456
education_appropriation,2025,39278131
education_appropriation,2026,42248050
education_appropriation,2027,44111921
county_tax,2024,1525119
county_tax,2025,1593135
county_tax,2026,1680359
county_tax,2027,1904994
total_gf_expenses,2024,54858277
total_gf_expenses,2025,58839463
total_gf_expenses,2026,62725535
total_gf_expenses,2027,65577938
municipal_revenues_balances,2024,-6391101
municipal_revenues_balances,2025,-6412801
municipal_revenues_balances,2026,-6664201
municipal_revenues_balances,2027,-6904801
education_revenues_balances,2024,-8288258
education_revenues_balances,2025,-8681567
education_revenues_balances,2026,-9159786
education_revenues_balances,2027,-9192945
total_gf_revenues,2024,-14679359
total_gf_revenues,2025,-15094368
total_gf_revenues,2026,-15823987
total_gf_revenues,2027,-16097746
gf_property_tax_levy,2024,40178918
gf_property_tax_levy,2025,43745095
gf_property_tax_levy,2026,46901548
gf_property_tax_levy,2027,49480192
less_state_reimbursement_bh,2024,-878957
less_state_reimbursement_bh,2025,-764637
less_state_reimbursement_bh,2026,-688332
less_state_reimbursement_bh,2027,-718431
net_gf_property_tax,2024,39299961
net_gf_property_tax,2025,42980458
net_gf_property_tax,2026,46213215
net_gf_property_tax,2027,48761761
gf_net_tax_base,2024,1676323360
gf_net_tax_base,2025,1682138280
gf_net_tax_base,2026,3211136100
gf_net_tax_base,2027,3221025900
tax_rate_per_1000,2024,23.54
tax_rate_per_1000,2025,25.67
tax_rate_per_1000,2026,14.55
tax_rate_per_1000,2027,15.25
